pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_E2F_TARGETS	1.48843207865337e-39	7.44216039326683e-38	1.63441895776255	-0.742530740066122	-3.13791860885716	195	CDKN2A;MCM2;MCM7;TCF19;CDC25B;MCM6;SMC4;MCM4;HELLS;PCNA;GINS4;AURKA;RNASEH2A;MYBL2;RRM2;KIF4A;CKS2;DLGAP5;LMNB1;GINS1;MCM5;MELK;TK1;MCM3;KIF18B;SPC24;PTTG1;CHEK1;TOP2A;AURKB;CDC20;MSH2;TIMELESS;TUBB;ATAD2;RAD51AP1;ASF1B;NUP153;CIT;TRIP13;DEPDC1;KIF2C;CCNB2;CDCA8;PRIM2;MKI67;BRCA1;SNRPB;RFC2;DONSON;TACC3;POP7;DEK;HMGA1;PSIP1;DIAPH3;DNMT1;POLA2;USP1;NASP;PSMC3IP;BARD1;SPAG5;LIG1;NCAPD2;EZH2;PLK1;CDKN3;BIRC5;MXD3;TRA2B;UNG;UBE2T;CCNE1;GINS3;POLE;SMC6;DCLRE1B;NUP107;WEE1;KIF22;RFC3;TIPIN;HMMR;TUBG1;PRKDC;ORC6;BRCA2;RFC1;PAICS;AK2;MMS22L;CDCA3;RPA3;CDC25A;CDKN2C;CDK1;KPNA2;DSCC1;SLBP;RAD1;RPA1;TMPO;CTPS1;ESPL1;CENPM;RACGAP1;NOP56;TP53;PMS2;SMC1A;DDX39A;MYC;ILF3;CENPE;SUV39H1;SSRP1;E2F8;CSE1L;BUB1B
HALLMARK_G2M_CHECKPOINT	4.8129528163146e-23	1.20323820407865e-21	1.24623277191648	-0.646979990815083	-2.72274490774974	188	MCM2;TPX2;E2F1;CDC25B;MCM6;CDC6;SMC4;SLC7A5;RAD54L;AURKA;MYBL2;KIF4A;CKS2;CDC7;LMNB1;CCND1;UBE2C;MCM5;CENPA;POLQ;GINS2;MCM3;PTTG1;CHEK1;TOP2A;AURKB;CDC20;KIF23;PML;BUB1;PRC1;E2F3;STIL;KIF2C;CHAF1A;CCNB2;PRIM2;MKI67;TTK;KIF15;PBK;NEK2;TACC3;NDC80;HMGA1;CENPF;POLA2;NASP;TRAIP;BARD1;CDC45;SMAD3;EZH2;KIF11;PLK1;CDKN3;BIRC5;TRA2B;POLE;FANCC;KIF22;TOP1;DBF4;RBL1;HMMR;KIF20B;EFNA5;RBM14;ORC6;BRCA2;FBXO5;CCNA2;CDC25A;CDKN2C;CDK1;KPNA2;EXO1;ODC1;TFDP1;CCNF;TMPO;MAPK14;INCENP;ESPL1;RACGAP1;SMC1A;DDX39A;MYC;ILF3;CENPE;SUV39H1;NUP50;TROAP;SMC2;STMN1;SRSF1;NUMA1;XPO1;MNAT1;ABL1;STAG1;MTF2;SMARCC1;DTYMK;NUSAP1;KPNB1;HNRNPD;PLK4;HIF1A
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.1120871915164e-12	3.52014531919401e-11	0.898671232061694	-0.652036313936672	-2.482755336007	95	OAS1;PSMB9;SAMD9L;IFI44L;TAP1;LAMP3;HLA-C;HELZ2;CXCL10;EPSTI1;RSAD2;CMPK2;PARP14;IFITM1;PLSCR1;ISG15;IFI44;SP110;PSMB8;PARP9;SAMD9;USP18;IFIT3;IFIH1;MX1;RTP4;EIF2AK2;TRIM26;IFIT2;MOV10;LY6E;TRIM25;BATF2;CMTR1;OASL;CSF1;IFITM2;IRF7;IFI35;PNPT1;NMI;DDX60;CD47;GBP4;DHX58;CASP8;STAT2;ISG20;BST2;CXCL11;IRF1;IRF9
HALLMARK_MITOTIC_SPINDLE	1.01307524961434e-11	1.26634406201793e-10	0.875325132024659	-0.520681815462939	-2.19484251391999	197	TPX2;KNTC1;ANLN;SMC4;AURKA;KIF4A;DLGAP5;LMNB1;CD2AP;TOP2A;KIF23;ARHGAP29;BUB1;PRC1;RHOF;KIF2C;CCNB2;FSCN1;TTK;KIF15;PLEKHG2;ECT2;NEK2;EZR;NDC80;CENPF;TUBA4A;SASS6;RASA1;FLNA;PXN;KIF11;PLK1;BIRC5;FLNB;DLG1;KIF22;CENPJ;KIF20B;SAC3D1;BRCA2;RFC1;FBXO5;RANBP9;TUBD1;ALMS1;CNTROB;TRIO;ARF6;CDK1;DST;CSNK1D;DYNLL2;CEP250;LRPPRC;INCENP;VCL;MYO9B;ESPL1;RACGAP1;CCDC88A;BCL2L11;SMC1A;ARHGAP5;TLK1;CENPE;HDAC6;ARHGDIA;RICTOR;NET1;PIF1;CDC42EP4;NUMA1;BCAR1;SOS1
HALLMARK_PANCREAS_BETA_CELLS	4.93248871402213e-11	4.93248871402213e-10	0.851339057116899	0.824810958004118	2.50682701138476	39	INS;GCG;SST;CHGA;SCGN;G6PC2;ABCC8;PCSK2;PCSK1;PAK3;NKX2-2;NEUROD1;PAX6;IAPP;FOXA2;SYT13;INSM1;ISL1;PDX1;SRP14;GCK;DPP4
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.00136377438394e-10	2.50113647865328e-09	0.814035837847908	-0.506363115294773	-2.13442575411209	198	IDO1;VCAM1;HLA-G;OAS3;PSMB9;OAS2;XAF1;SAMD9L;IFI44L;TNFSF10;TAP1;HELZ2;CXCL9;HLA-B;CXCL10;NLRC5;EPSTI1;PML;RSAD2;CMPK2;PARP14;ZBP1;PLSCR1;ISG15;IFI44;RBCK1;HLA-A;CD274;IL18BP;GBP6;SP110;PSMB8;CFB;RNF213;USP18;IFIT3;ITGB7;IFIH1;MX1;STAT1;RTP4;EIF2AK2;TAPBP;APOL6;TRIM26;IFIT2;ARL4A;LY6E;TRIM25;BATF2;CMTR1;IFIT1;OASL;IFITM2;IRF7;PFKP;IFI35;PNPT1;NMI;NOD1;PELI1;CCL7;DDX60;CD40;GBP4;PTGS2;DHX58;CASP8;STAT2;CIITA;ISG20;BST2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.11102203220692e-07	7.93587165862088e-07	0.704975715167238	0.502206939601488	1.94645624032052	183	ATP1B1;OAT;NDUFA3;MAOB;LDHB;SLC25A4;ACAT1;IDH1;NDUFC2;NDUFA1;DLD;MGST3;ATP6V1F;SLC25A20;NDUFB1;UQCR10;UQCRFS1;ECHS1;ACADSB;UQCRB;NDUFB2;SDHB;COX6C;PRDX3;NDUFA5;MRPL34;COX6B1;BDH2;COX7A2;ETFDH;COX4I1;COX8A;ATP6V0B;COX7C;NDUFB3;NDUFAB1;SLC25A5;COX7B;MPC1;UQCRC2;SLC25A6;COX6A1;SURF1;COX5B;ISCA1;NDUFA2;PHYH;NDUFA4;SDHD;ISCU;NDUFA8;NDUFS2;AFG3L2;GLUD1;NDUFB8;TIMM8B;MRPL15;ATP6V1D;NDUFC1;UQCRQ;SLC25A3;MFN2;COX5A;FDX1;NDUFA6;TOMM22;SLC25A11;ETFB;ATP6V1G1;GPX4;FH;CYC1;ACO2;HSD17B10;TIMM13;FXN;ACADVL;ATP6V0E1;ATP6V0C;DLAT;COX15;TIMM10
HALLMARK_MYC_TARGETS_V1	8.57549127313937e-07	5.35968204571211e-06	0.659444398037935	-0.444082764318608	-1.87472128775277	193	TYMS;MCM2;MCM7;RFC4;MCM6;MCM4;PCNA;MCM5;CDC20;HSPD1;CAD;LDHA;DEK;PGK1;USP1;CDK2;HNRNPA3;CDC45;TRA2B;PCBP1;PRPS2;CSTF2;NCBP2;HNRNPA2B1;LSM2;CCNA2;KPNA2;ODC1;XPOT;TFDP1;CCT4;VDAC3;CTPS1;HPRT1;SNRPA;CCT2;HSP90AB1;NOP56;EIF2S2;EIF3B;MYC;PPM1G;GLO1;MRPS18B;CBX3;HSPE1;YWHAQ;DDX18;CANX;SNRPA1;TRIM28;SRSF1;XPO1;PTGES3;FBL;RRM1;SNRPB2;U2AF1;SMARCC1;PSMC4;KPNB1;PSMA6;CCT7;HNRNPD;NPM1;SRSF7
HALLMARK_BILE_ACID_METABOLISM	2.36591634112663e-06	1.31439796729257e-05	0.627256739718528	0.55340002799405	2.02149507072187	110	TTR;ALDH1A1;NR0B2;GC;DHCR24;CYP27A1;SULT1B1;NR3C2;CH25H;ABCA8;BMP6;GNMT;IDH1;ABCA6;ABCA9;ALDH9A1;IDI1;SLC29A1;EPHX2;GNPAT;NR1I2;CYP7B1;ACSL1;AQP9;NPC1;SCP2;PEX7;PHYH;CAT;AMACR;SOD1;GSTK1;RXRG;ABCD3;HSD17B11;HSD17B4;SLC22A18;PXMP2;FADS1
HALLMARK_XENOBIOTIC_METABOLISM	4.76512925888943e-06	2.38256462944472e-05	0.610526878385931	0.472753575809674	1.84278968853334	189	REG1A;CA2;HSD11B1;RBP4;VNN1;RAP1GAP;F10;AKR1C3;NDRG2;CYP27A1;PTGDS;DDC;HSD17B2;AOX1;CDO1;TMEM176B;HNF4A;ALDH3A1;MAN1A1;PGD;F11;AKR1C2;HES6;APOE;PINK1;GNMT;ALDH2;MAOA;IDH1;SLC6A6;ALDH9A1;TMBIM6;CYP2J2;FAS;IGF1;CBR1;FMO3;DCXR;CD36;SLC46A3;FBLN1;TDO2;FBP1;GCH1;ACOX1;FMO1;ETFDH;ETS2;GABARAPL1;AQP9;NPC1;VTN;GCKR;DDT;CAT;GSR;TMEM97;ADH5;CASP6;GSTM4;PROS1;GSTO1;FABP1;PTGR1;CYP2S1;NQO1;PEMT;IL1R1
