pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_GLYCOGEN_DEGRADATION_AMYLASE_	4.74204932756943e-05	0.00419332647680782	0.557332238758646	0.962344213154276	1.94553356633021	6	AMY2A;AMY2B;AMY1B
KEGG_MEDICUS_REFERENCE_METHIONINE_DEGRADATION	0.0050276751444428	0.183066524377064	0.407017918923954	0.792898666589077	1.87224521404834	10	GNMT;MAT1A;MAT2A
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	0.00928594028072928	0.261272592444156	0.380730400722792	0.585977779365331	1.77896902476152	30	MCM7;POLE;MCM3;GINS4;RFC3;MCM5;RPA2;RPA1;PRIM2;MCM6;POLA2;MCM10;RFC1;RFC4;RFC5;GINS1
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	0.0168594683721218	0.359862445598047	0.352487857583619	0.598277963909447	1.74749367011752	25	FGFR3;FGFR4;FGFR2;NTRK2;NGFR;FLT3;ERBB4;FGFR1;KDR;IGF1R
KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_MAC_INHIBITION	0.0297246572536803	0.487249636709024	0.352487857583619	0.733360033787643	1.68670803799567	9	C6;CLU;C7;VTN;C8G
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	0.0307267813423393	0.487249636709024	0.352487857583619	0.636133600999531	1.6375832778108	16	GSTM1;GSTA2;GSTM4;GSTA4;GSTM2;GSTA1;GSTM3
KEGG_MEDICUS_VARIANT_EWSR1_WT1_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	0.0230900342632388	0.433113066937722	0.352487857583619	0.80400794379642	1.62543133825786	6	TSPAN7;PDGFA;MLF1
KEGG_MEDICUS_REFERENCE_CREATINE_PATHWAY	0.028074973329086	0.482733569186228	0.352487857583619	0.748038752511257	1.60171164256925	7	GATM;GAMT;CKMT1A
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.028074973329086	0.482733569186228	0.352487857583619	0.747631466048129	1.60083955476944	7	HLA-F;HLA-C;HLA-B;HLA-E
KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.031486244698483	0.487249636709024	0.321775918075361	0.776107696039755	1.56902650121769	6	HLA-F;HLA-C;HLA-B;HLA-E
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	0.0304027431759839	0.487249636709024	0.352487857583619	0.528440267034287	1.56644189004193	27	MCM7;POLE;MCM3;GINS4;MCM5;MCM6;MTBP;ORC2;ORC5;RECQL4;GINS1;CDC6
KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION	0.0654911838790932	0.635741184525847	0.282013350011725	0.723494708943481	1.54915757340337	7	C6;C7;C5;C8G
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.0654911838790932	0.635741184525847	0.282013350011725	0.72276514434984	1.54759541890306	7	HLA-F;HLA-C;HLA-B;HLA-E;B2M
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION	0.0735694822888283	0.635741184525847	0.276500599254472	0.644794852796177	1.54666797049591	11	ACADL;ACAT1;ACADVL;ACADSB;ACADM
KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	0.0654911838790932	0.635741184525847	0.282013350011725	0.722090541826166	1.54615095000002	7	EGF;DLL1;ESR2;FGF9
KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	0.0609513265900411	0.635741184525847	0.321775918075361	0.556178548017988	1.53224263638036	21	GSTM1;GSTA2;GSTM4;GSTA4;GSTM2;GSTA1;GSTM3;HMOX1
KEGG_MEDICUS_PATHOGEN_EBV_EBNA2_TO_RBP_JK_MEDIATED_TRANSCRIPTION	0.0705289672544081	0.635741184525847	0.271288554688953	0.714810395976573	1.53056259401211	7	CR2;FCER2;MYC
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.0704225352112676	0.635741184525847	0.287857117255149	0.638944041680198	1.52795217268867	12	HLA-F;HLA-C;HLA-B;TAP1;HLA-E;TAP2;TAPBP;B2M
KEGG_MEDICUS_REFERENCE_BCR_PLCG_ITPR_SIGNALING_PATHWAY	0.077720207253886	0.635741184525847	0.261663521711573	0.684656236671669	1.52298604640837	8	BLNK;PLCG2;ITPR3;ITPR2
KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	0.101036269430052	0.643975517139736	0.227987202850442	0.669242700435982	1.48869934988038	8	MCM7;MCM3;MCM5;MCM6
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	0.0930232558139535	0.635741184525847	0.252961123069611	0.541993745555121	1.47996773066643	20	GSTM1;GSTA2;GSTM4;GSTA4;GSTM2;GSTA1;GSTM3
KEGG_MEDICUS_REFERENCE_UREA_CYCLE	0.076530612244898	0.635741184525847	0.261663521711573	0.729924466726232	1.47565967716159	6	ASS1;OTC;CPS1;ARG1
KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY	0.0901639344262295	0.635741184525847	0.248911114434702	0.585330705732943	1.46726177949253	14	CR2;CD19;PIK3AP1
KEGG_MEDICUS_REFERENCE_EGF_JAK_STAT_SIGNALING_PATHWAY	0.0906801007556675	0.635741184525847	0.237793834423688	0.681308634030359	1.45882812574333	7	EGF;STAT1
KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	0.0491427714685671	0.620803582429449	0.321775918075361	0.429691614286673	1.41310978007501	49	FGFR3;FGFR4;FGFR2;EGF;PDGFA;NTRK2;PLCG2;ERBB4;PDGFD;ITPR3;FGFR1;ITPR2;KDR;FGF20;RET
KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY	0.0962099125364431	0.636952254305978	0.248911114434702	0.479973940278467	1.40932325696403	26	FGFR3;FGFR4;FGFR2;FGFR1;FGF20
KEGG_MEDICUS_PATHOGEN_HIV_VPR_TAT_TO_TNF_JNK_SIGNALING_PATHWAY	0.125	0.670017009432504	0.195789002148949	0.731766729398702	1.39532626219946	5	JUN;FOS;MAPK9
KEGG_MEDICUS_REFERENCE_STEROID_HORMONE_BIOSYNTHESIS_PROGESTERONE_TO_CORTISOL_CORTISONE	0.120950323974082	0.670017009432504	0.188204146308491	0.809138928201326	1.38072414188983	3	HSD11B2;CYP21A2
KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION	0.145161290322581	0.701990927419355	0.191892240384838	0.567607231062137	1.34027205063527	10	GADD45G;DDB2;GADD45B;TP53;CDKN1A
KEGG_MEDICUS_REFERENCE_LEUCINE_DEGRADATION	0.181360201511335	0.765126646403242	0.16440575583821	0.61993109346051	1.32740562792092	7	MCCC1;HMGCLL1;AUH;ACADM
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_TP53_TO_TRANSCRIPTION	0.173684210526316	0.751821862348178	0.172324344900946	0.568170453396045	1.30677651704737	9	GADD45G;DDB2;GADD45B;TP53;CDKN1A
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION	0.18010752688172	0.765126646403242	0.170932335370056	0.552243259928243	1.30399361729151	10	GADD45G;DDB2;GADD45B;TP53;CDKN1A
KEGG_MEDICUS_REFERENCE_HYDROLYSIS_OF_SPHINGOMYELIN	0.217616580310881	0.785473484848485	0.151148761385484	0.564626411157631	1.2559852661345	8	SMPD3;ACER2;ASAH2;SMPD1;SMPD4
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	0.197674418604651	0.785473484848485	0.169570644405628	0.466540330531796	1.25516906341626	19	VAV3;PLCG2;ITPR3;ITPR2;CD247;ZAP70;CD3G;VAV2;CD3E
KEGG_MEDICUS_REFERENCE_VALINE_DEGRADATION	0.233160621761658	0.785473484848485	0.14551614609036	0.55407478841297	1.23251367068799	8	HIBCH;ACAD8;ACADM;HIBADH;ALDH6A1
KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY	0.239294710327456	0.785473484848485	0.141225119642531	0.574414981053582	1.2299458547181	7	EGF;STAT1
KEGG_MEDICUS_REFERENCE_FGF_FGFR_RAS_ERK_SIGNALING_PATHWAY	0.19941348973607	0.785473484848485	0.169570644405628	0.403152416966842	1.22392979272788	30	FGFR3;FGFR4;FGFR2;BRAF;FGFR1;FGF20
KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY	0.215297450424929	0.785473484848485	0.159646701919906	0.472703992926003	1.21687040733852	16	RBPJL;DLL1;HEYL
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY	0.229813664596273	0.785473484848485	0.161978948883402	0.388145709709467	1.18646418360646	33	CLDN3;CLDN18;CLDN4;CLDN23;ARPC1A;CLDN6;CLDN15;CLDN2
KEGG_MEDICUS_PATHOGEN_SHIGELLA_OSPF_TO_TLR2_4_MAPK_SIGNALING_PATHWAY	0.298469387755102	0.785473484848485	0.12563992130984	0.578558519343477	1.16964907574977	6	MAPK13;MAPK14
