pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_GLYCOGEN_DEGRADATION_AMYLASE_	9.80020206572024e-06	0.00151658126967021	0.593325476396405	0.962344213154276	2.00633835686065	6	AMY2A;AMY2B;AMY1B
KEGG_MEDICUS_REFERENCE_METHIONINE_DEGRADATION	0.0182953793633576	0.411391565613739	0.352487857583619	0.792898666589077	1.85435304585395	10	GNMT;MAT1A;MAT2A
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	0.0229299647392234	0.458957267946201	0.352487857583619	0.585977779365331	1.73795175304699	30	MCM7;POLE;MCM3;GINS4;RFC3;MCM5;RPA2;RPA1;PRIM2;MCM6;POLA2;MCM10;RFC1;RFC4;RFC5;GINS1
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	0.0155619664968751	0.370494510060219	0.380730400722792	0.598277963909447	1.71420410553751	25	FGFR3;FGFR4;FGFR2;NTRK2;NGFR;FLT3;ERBB4;FGFR1;KDR;IGF1R
KEGG_MEDICUS_VARIANT_EWSR1_WT1_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	0.0186089884284082	0.411391565613739	0.352487857583619	0.80400794379642	1.67623180438953	6	TSPAN7;PDGFA;MLF1
KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_MAC_INHIBITION	0.0239127979439173	0.458957267946201	0.352487857583619	0.733360033787643	1.64964980266059	9	C6;CLU;C7;VTN;C8G
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	0.0403939307499246	0.604568367989918	0.321775918075361	0.636133600999531	1.64635160162622	16	GSTM1;GSTA2;GSTM4;GSTA4;GSTM2;GSTA1;GSTM3
KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.0300320256057589	0.502427671620669	0.352487857583619	0.776107696039755	1.61806411711614	6	HLA-F;HLA-C;HLA-B;HLA-E
KEGG_MEDICUS_REFERENCE_CREATINE_PATHWAY	0.081775483338424	0.604568367989918	0.287805130535564	0.748038752511257	1.6069837789849	7	GATM;GAMT;CKMT1A
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.081775483338424	0.604568367989918	0.287805130535564	0.747631466048129	1.60610882065226	7	HLA-F;HLA-C;HLA-B;HLA-E
