pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_GLYCOGEN_DEGRADATION_AMYLASE_	5.16750474432523e-05	0.00456955062391045	0.557332238758646	0.962344213154276	1.98348538250262	6	AMY2A;AMY2B;AMY1B
KEGG_MEDICUS_REFERENCE_METHIONINE_DEGRADATION	0.00643887332783104	0.270069760879068	0.407017918923954	0.792898666589077	1.87026447033527	10	GNMT;MAT1A;MAT2A
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	0.0113823458114303	0.320257820785243	0.380730400722792	0.585977779365331	1.7421294814701	30	MCM7;POLE;MCM3;GINS4;RFC3;MCM5;RPA2;RPA1;PRIM2;MCM6;POLA2;MCM10;RFC1;RFC4;RFC5;GINS1
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	0.0345417234118793	0.551304026349398	0.321775918075361	0.598277963909447	1.7120547864574	25	FGFR3;FGFR4;FGFR2;NTRK2;NGFR;FLT3;ERBB4;FGFR1;KDR;IGF1R
KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_MAC_INHIBITION	0.0580621375463425	0.551304026349398	0.321775918075361	0.733360033787643	1.67940764448939	9	C6;CLU;C7;VTN;C8G
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	0.042473193621318	0.551304026349398	0.321775918075361	0.636133600999531	1.67444463060085	16	GSTM1;GSTA2;GSTM4;GSTA4;GSTM2;GSTA1;GSTM3
KEGG_MEDICUS_VARIANT_EWSR1_WT1_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	0.028770671294509	0.551304026349398	0.352487857583619	0.80400794379642	1.65713887207688	6	TSPAN7;PDGFA;MLF1
KEGG_MEDICUS_REFERENCE_CREATINE_PATHWAY	0.073833993286806	0.551304026349398	0.287805130535564	0.748038752511257	1.62212761496349	7	GATM;GAMT;CKMT1A
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.073833993286806	0.551304026349398	0.287805130535564	0.747631466048129	1.62124441122997	7	HLA-F;HLA-C;HLA-B;HLA-E
KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.0429030258464682	0.551304026349398	0.321775918075361	0.776107696039755	1.59963373738899	6	HLA-F;HLA-C;HLA-B;HLA-E
KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION	0.0945749949031872	0.558621533566851	0.287805130535564	0.723494708943481	1.56890367339563	7	C6;C7;C5;C8G
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.0961127660904294	0.558621533566851	0.287805130535564	0.72276514434984	1.56732160713199	7	HLA-F;HLA-C;HLA-B;HLA-E;B2M
KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	0.0961127660904294	0.558621533566851	0.287805130535564	0.722090541826166	1.56585872652707	7	EGF;DLL1;ESR2;FGF9
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	0.0514117615401507	0.551304026349398	0.321775918075361	0.528440267034287	1.55753168634626	27	MCM7;POLE;MCM3;GINS4;MCM5;MCM6;MTBP;ORC2;ORC5;RECQL4;GINS1;CDC6
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.0824870412803299	0.554994332092654	0.287805130535564	0.638944041680198	1.55199316129869	12	HLA-F;HLA-C;HLA-B;TAP1;HLA-E;TAP2;TAPBP;B2M
KEGG_MEDICUS_PATHOGEN_EBV_EBNA2_TO_RBP_JK_MEDIATED_TRANSCRIPTION	0.0661577608142494	0.551304026349398	0.282013350011725	0.714810395976573	1.55007167594454	7	CR2;FCER2;MYC
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION	0.100462464283806	0.568366002634836	0.287805130535564	0.644794852796177	1.5458221189788	11	ACADL;ACAT1;ACADVL;ACADSB;ACADM
KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	0.0614459572211905	0.551304026349398	0.321775918075361	0.556178548017988	1.52745936245861	21	GSTM1;GSTA2;GSTM4;GSTA4;GSTM2;GSTA1;GSTM3;HMOX1
KEGG_MEDICUS_REFERENCE_BCR_PLCG_ITPR_SIGNALING_PATHWAY	0.0759493670886076	0.551304026349398	0.261663521711573	0.684656236671669	1.52719860308271	8	BLNK;PLCG2;ITPR3;ITPR2
KEGG_MEDICUS_REFERENCE_UREA_CYCLE	0.0769230769230769	0.551304026349398	0.257206466468838	0.729924466726232	1.50444559263994	6	ASS1;OTC;CPS1;ARG1
KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY	0.0712328767123288	0.551304026349398	0.282013350011725	0.585330705732943	1.50176750635196	14	CR2;CD19;PIK3AP1
KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	0.0911392405063291	0.558621533566851	0.237793834423688	0.669242700435982	1.49281707006384	8	MCM7;MCM3;MCM5;MCM6
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	0.0885714285714286	0.558621533566851	0.257206466468838	0.541993745555121	1.48286732222833	20	GSTM1;GSTA2;GSTM4;GSTA4;GSTM2;GSTA1;GSTM3
KEGG_MEDICUS_REFERENCE_EGF_JAK_STAT_SIGNALING_PATHWAY	0.101781170483461	0.568366002634836	0.224966093540314	0.681308634030359	1.47742285525117	7	EGF;STAT1
KEGG_MEDICUS_PATHOGEN_HIV_VPR_TAT_TO_TNF_JNK_SIGNALING_PATHWAY	0.107061503416856	0.571422484803727	0.206587922696891	0.731766729398702	1.42905051229977	5	JUN;FOS;MAPK9
KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY	0.0862068965517241	0.558621533566851	0.261663521711573	0.479973940278467	1.40243879108982	26	FGFR3;FGFR4;FGFR2;FGFR1;FGF20
