pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_G2M_CHECKPOINT	5.19464266047319e-29	2.5973213302366e-27	1.39518713415833	-0.676567642450671	-2.90420565937197	187	BUB1;TPX2;AURKB;CDC45;TTK;CENPF;KIF11;HMMR;CCNA2;CDK1;PBK;AURKA;LMNB1;CHEK1;CDC20;RAD21;KPNA2;CCNF;PLK1;G3BP1;CCNB2;KIF20B;CDC25B;CENPE;ESPL1;NDC80;KIF4A;MAD2L1;MCM2;KIF2C;TOP2A;TACC3;CENPA;GINS2;BIRC5;MTF2;E2F1;MYC;PTTG1;KIF15;NUSAP1;NOLC1;STIL;CDC7;CDKN3;PRC1;HIF1A;FBXO5;MNAT1;PLK4;RACGAP1;CKS2;SUV39H1;TROAP;MKI67;BUB3;SNRPD1;UBE2C;POLQ;CDC25A;BCL3;SFPQ;POLA2;RAD54L;DR1;E2F3;NEK2;TMPO;NUP50;SLC7A5;DTYMK;E2F2;EXO1;PURA;TLE3;HMGA1;CBX1;SS18;MARCKS;BARD1;HMGB3;AMD1;STAG1;KIF5B;ORC6;CDK4;CKS1B;UBE2S;SYNCRIP;INCENP;DDX39A;SRSF1;CDKN1B;KIF23;GSPT1;HMGN2;PRIM2;KIF22;LBR
HALLMARK_E2F_TARGETS	1.12172796542727e-28	2.80431991356818e-27	1.38774608305349	-0.669498598549931	-2.90574053792337	194	CDCA3;AURKB;HMMR;TRIP13;DLGAP5;MCM4;ATAD2;CDK1;AURKA;LMNB1;CHEK1;CDC20;TK1;RAD21;KPNA2;BRCA1;PLK1;MELK;CCNB2;ASF1B;UBE2T;CDC25B;CENPE;HMGB2;ESPL1;SPC25;CENPM;KIF4A;MAD2L1;MCM2;KIF2C;TOP2A;TACC3;MSH2;BUB1B;BIRC5;MYC;PTTG1;HELLS;NOLC1;CDKN3;SSRP1;PLK4;RACGAP1;CKS2;TIMELESS;SUV39H1;SMC3;MKI67;SPAG5;CDKN2A;RRM2;NBN;EED;CDC25A;DEK;POLA2;DIAPH3;CIT;PRKDC;CCNE1;RANBP1;SMC6;CDCA8;GINS1;CSE1L;NME1;GINS4;MMS22L;PA2G4;NAP1L1;PRPS1;TMPO;SHMT1;TIPIN;NCAPD2;HMGA1;NOP56;TUBB;GINS3;CCP110;RAD51AP1;RPA3;WEE1;ORC2;BARD1;PSMC3IP;DSCC1;HMGB3;NUP107;NUDT21;STAG1;ORC6;CDK4;UNG;CKS1B;UBE2S;NUP205;SYNCRIP;DDX39A;LYAR;SRSF1;RFC3;CDKN1B;GSPT1;PRIM2;KIF22;LBR
HALLMARK_MTORC1_SIGNALING	2.01158055117021e-12	3.35263425195036e-11	0.898671232061694	-0.528292213563336	-2.29288023028739	194	BUB1;ACTR3;MCM4;AURKA;CCNF;PLK1;TUBA4A;STC1;CYP51A1;MCM2;GTF2H1;PSMD14;TCEA1;TES;DHFR;LDHA;SLC1A5;RRM2;TRIB3;CACYBP;ELOVL5;CDC25A;NFKBIB;HSPD1;POLR3G;PPIA;HSPE1;EIF2S2;SLC7A11;CORO1A;IDI1;P4HA1;UCHL5;PSMG1;ACLY;TXNRD1;PSMC6;SLC2A3;ME1;RDH11;SLC7A5;SHMT2;RRP9;IFRD1;STIP1;PSMD13;CYB5B;PSPH;HSPA4;MLLT11;FDXR;HSPA5;GCLC;GOT1;EEF1E1;INSIG1;HSP90B1;CCT6A;PSMD12;LTA4H;IFI30;UNG;ATP2A2;PGK1;NUP205;COPS5;PDAP1;SERPINH1;DDX39A;G6PD;FADS1;IMMT;NAMPT;GLRX;TMEM97;SRD5A1;TOMM40;SORD;TPI1;PLOD2;ENO1;CANX;MAP2K3;CXCR4;PSMA3;SQLE;PSMC2;SSR1;PSAT1;TUBG1;PSMA4;PRDX1;UFM1;SKAP2;PNP;GMPS
HALLMARK_MYC_TARGETS_V1	2.99595519384125e-12	3.74494399230156e-11	0.898671232061694	-0.524159376886478	-2.27129507882305	192	CDC45;MCM4;CCNA2;CDC20;KPNA2;G3BP1;MAD2L1;MCM2;UBA2;MYC;PTGES3;NOLC1;PABPC1;TYMS;PSMD14;BUB3;LDHA;SNRPD1;HSP90AB1;HSPD1;DEK;TCP1;NCBP2;SNRPG;PPIA;HSPE1;EIF2S2;RANBP1;RFC4;NDUFAB1;HNRNPC;NME1;EIF1AX;PA2G4;NAP1L1;HDGF;PSMC6;RRP9;IFRD1;NOP56;CCT3;AP3S1;ORC2;HNRNPA3;PRPS2;RPL22;HDAC2;CBX3;SSBP1;VDAC1;CDK4;HNRNPA1;PGK1;SYNCRIP;COPS5;CSTF2;SRSF1;U2AF1;YWHAE;CAD;PSMA2;PSMB2;EIF4A1;SF3B3;PSMB3;GSPT1;SET;YWHAQ;RRM1;CYC1;CANX;MCM6;FBL;PSMA4;KPNB1;PCNA;ABCE1;SRM;SNRPB2;HNRNPU;RPL6;ETF1;SNRPA;EIF4E;POLD2;RUVBL2;CCT7;CLNS1A;PRDX4;MCM5;RPS3;RAN;VBP1;HNRNPD;PWP1;MRPL9;NPM1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	8.50825974200391e-12	7.09021645166992e-11	0.875325132024659	-0.509108480784319	-2.2079340483989	197	CXCL10;G0S2;CXCL6;FJX1;IL6;TNFSF9;DNAJB4;FOSL1;PLAU;SLC2A6;NR4A2;CXCL11;TNC;MYC;RIPK2;SNN;DUSP2;PTGS2;RHOB;ATP2B1;CXCL1;REL;IL1A;BIRC3;NFKBIE;TRIB1;DUSP5;CD83;BCL3;FOSL2;IRF1;IL23A;RNF19B;CD80;ICAM1;MXD1;PLEK;BTG3;EGR3;TNFAIP3;TNF;TNFAIP6;SLC2A3;TRIP10;IL12B;DUSP1;EDN1;IFIT2;CD69;PLAUR;CCL5;MARCKS;MAFF;SOD2;JUNB;ACKR3;PLK2;EHD1;BMP2;KYNU;CD44;ZFP36;MAP3K8;CCL2;KLF2;CLCF1;NAMPT;CCL20;SERPINE1;TUBB2A;CXCL2;IER5;MAP2K3;DRAM1;TNFAIP2;TNFRSF9;TNFAIP8;TANK;F2RL1;BIRC2
HALLMARK_MITOTIC_SPINDLE	7.99517848152895e-12	7.09021645166992e-11	0.875325132024659	-0.515692624692593	-2.24080660355398	196	BUB1;TPX2;TTK;CENPF;KIF11;ANLN;DLGAP5;ECT2;CDK1;AURKA;LMNB1;CCDC88A;RHOF;PLK1;CCNB2;KIF20B;FSCN1;TUBA4A;CENPE;ESPL1;NDC80;KIF4A;KIF2C;TOP2A;PXN;BIRC5;ARFGEF1;KIF15;NUSAP1;CEP57;PRC1;FBXO5;RACGAP1;KNTC1;SMC3;CD2AP;CDC42EP2;FGD6;ACTN4;HOOK3;TUBD1;ROCK1;NEK2;CENPJ;ARHGAP4;SAC3D1;MARCKS;STK38L;CLIP2;ARHGAP29;RANBP9;NET1;KIF5B;TIAM1;RICTOR;TRIO;LLGL1;INCENP;CDC42BPA;MID1IP1;YWHAE;BCAR1;DOCK2;KIF23;TLK1
HALLMARK_ALLOGRAFT_REJECTION	5.89582420910243e-11	4.21130300650173e-10	0.839088935621274	-0.507791648946864	-2.20390420885073	194	CXCL9;CXCL13;IL6;GZMB;CD7;CD8A;IL2RB;CD79A;BRCA1;CD3D;GZMA;LTB;ETS1;CD247;RIPK2;HIF1A;LY75;HLA-A;HLA-G;CDKN2A;HLA-DOB;CD3E;ITGAL;CD47;CD96;PRF1;EREG;STAT4;STAT1;CD2;ITK;IFNG;CD3G;BCL3;INHBB;MRPL3;CD80;GPR65;EIF3A;ICAM1;EIF5A;CXCR3;IL18RAP;ACHE;TGFB2;EGFR;CAPG;PRKCB;TNF;NME1;UBE2N;IL12B;WAS;GALNT1;TLR1;KLRD1;TAP2;IL11;CCL7;IL27RA;ZAP70;CCL5;MTIF2;IRF4;LCK;RPS19;DYRK3;IRF7;CCL19;CD28;SPI1;PRKCG;CCL2;IRF8;CCL11;CD4;IL4R;IGSF6;B2M;FLNA;MAP4K1
HALLMARK_INFLAMMATORY_RESPONSE	3.3110922900583e-08	2.06943268128644e-07	0.719512826338911	-0.454587617339976	-1.97148449925483	197	CXCL9;CXCL10;CXCL6;CD48;IL6;TNFSF9;MET;CCR7;AQP9;IL2RB;SGMS2;CD70;SLC1A2;GNA15;CYBB;CALCRL;CXCL11;MYC;RIPK2;APLNR;RGS16;HIF1A;DCBLD2;ATP2B1;IL1A;EREG;SELL;C5AR1;SELE;CHST2;ADRM1;IRF1;TPBG;PCDH7;ICAM1;MXD1;IL18RAP;BDKRB1;LTA;NMI;LY6E;TNFAIP6;EIF2AK2;IL12B;EDN1;TLR1;NDP;CD69;CD55;PLAUR;P2RX7;CCL7;CCL5;TNFSF10;BST2;GP1BA;GNAI3;LCK;P2RY2;RASGRP1;ATP2A2;IRF7;CCL2;OSMR;PVR;NAMPT;CCL20;CSF3R;SERPINE1;ITGB8;MMP14;ITGA5;SLC28A2;IL4R
HALLMARK_PANCREAS_BETA_CELLS	5.68632805775559e-06	3.15907114319755e-05	0.610526878385931	0.660941073973665	2.11468803040333	40	INS;GCG;SST;ABCC8;IAPP;SCGN;CHGA;NKX2-2;MAFB;G6PC2;FOXA2;SRP14;PAX4;PCSK2;PAK3;ISL1;PAX6;INSM1
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.88464359770787e-05	9.42321798853934e-05	0.575610261071129	-0.396416742499573	-1.71920534847854	197	CXCL9;CXCL10;IL6;BATF2;IDO1;IL2RB;HLA-DRB1;GZMA;CD38;CXCL11;RIPK2;PTGS2;HIF1A;HLA-A;PSMB9;HLA-G;STAT4;SELP;STAT1;ZBP1;GPR18;IRF1;ICAM1;VAMP5;BANK1;NMI;LY6E;PLSCR1;TNFAIP3;TNFAIP6;EIF2AK2;IFIT2;IRF2;CD69;CCL7;CCL5;GBP4;TNFSF10;IRF4;BST2;SOD2;PSME1;IFI30;RNF213;VCAM1;SLAMF7;IRF7;CCL2;IRF8;NAMPT;PSMA2;PSMB2;NUP93;IL4R;PFKP;B2M;LAP3;ISOC1;TNFAIP2;PSMA3;IL10RA;ST8SIA4;XAF1;IFIT3;PNP;NLRC5;SPPL2A;IFITM2;PML;METTL7B
