pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	0.000100935470849267	0.00416527043037975	0.538434096309916	0.721667058320384	2.00668197197276	23	GSTA1;GSTM3;GSTM5;GSTA2;GSTT1;GSTT2;GSTT2B;GSTA4;GSTA5;GSTM4;CYP1B1;MGST2;MGST3;GSTM2;ARNT
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	0.000333006863484237	0.00957849421828026	0.49849310876659	0.73652299776537	1.96125531728325	19	GSTA1;GSTM3;GSTM5;GSTA2;GSTT1;GSTT2;GSTT2B;GSTA4;GSTA5;GSTM4;MGST2;MGST3;GSTM2
KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	0.00311753955254371	0.0446638142688173	0.431707695803346	0.639022913191844	1.80271940248121	24	GSTA1;GSTM3;GSTM5;GSTA2;GSTT1;GSTT2;GSTT2B;GSTA4;GSTA5;GSTM4;MGST2;MGST3;GSTM2;KEAP1
KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	0.00792343745212465	0.080403406276478	0.380730400722792	0.699104725099315	1.7129179269802	14	KIF7;IHH;GLI1;SMO;PTCH1;SUFU;EVC2
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	0.00319785662521155	0.0446638142688173	0.431707695803346	0.582327721373378	1.7005866904495	29	WNT5A;KIF7;GLI1;SMO;WNT2;PTCH1;SUFU;WNT4;WNT7A;WNT2B;BMP4;WNT3;WNT5B
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	0.00319785662521155	0.0446638142688173	0.431707695803346	0.582327721373378	1.7005866904495	29	WNT5A;KIF7;GLI1;SMO;WNT2;PTCH1;SUFU;WNT4;WNT7A;WNT2B;BMP4;WNT3;WNT5B
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PATHWAY_ADAPTOR_PROTEINS	0.0165418295754889	0.147709702579545	0.352487857583619	0.728142606095042	1.65444336600322	10	SHC4;SOS1;SHC2;SHC3
KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM	0.0167038435873475	0.147709702579545	0.352487857583619	0.700235118960368	1.62309012892939	11	AKR1C4;AKR1C3;AKR1A1;AKR1C1;CYP1B1;AKR1C2;EPHX2
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR	0.021352305777691	0.181055853101243	0.352487857583619	0.543155582731489	1.56601813853124	27	FRZB;SFRP4;WNT5A;SFRP1;WNT2;WNT4;SFRP2;WNT7A;WNT2B;WNT3;WNT5B
KEGG_MEDICUS_REFERENCE_SIALYL_LEWIS_X_ANTIGEN_BIOSYNTHESIS	0.0310563201906353	0.240298277475041	0.352487857583619	0.792829428814861	1.55753504272927	6	ST3GAL6;FUT3;FUT7;FUT5
