pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	0.000118705459576255	0.00432227526339421	0.538434096309916	0.721667058320384	2.06531527136983	23	GSTA1;GSTM3;GSTM5;GSTA2;GSTT1;GSTT2;GSTT2B;GSTA4;GSTA5;GSTM4;CYP1B1;MGST2;MGST3;GSTM2;ARNT
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	0.000200905121881863	0.00654527739183542	0.518848077743792	0.73652299776537	2.00150598110567	19	GSTA1;GSTM3;GSTM5;GSTA2;GSTT1;GSTT2;GSTT2B;GSTA4;GSTA5;GSTM4;MGST2;MGST3;GSTM2
KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	0.00299390450130532	0.0421187928706362	0.431707695803346	0.639022913191844	1.84417890397713	24	GSTA1;GSTM3;GSTM5;GSTA2;GSTT1;GSTT2;GSTT2B;GSTA4;GSTA5;GSTM4;MGST2;MGST3;GSTM2;KEAP1
KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	0.00647118767941723	0.0656666421894962	0.407017918923954	0.699104725099315	1.78097215263682	14	KIF7;IHH;GLI1;SMO;PTCH1;SUFU;EVC2
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	0.00593827496537941	0.0644875825187693	0.407017918923954	0.582327721373378	1.72011156465504	29	WNT5A;KIF7;GLI1;SMO;WNT2;PTCH1;SUFU;WNT4;WNT7A;WNT2B;BMP4;WNT3;WNT5B
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	0.00593827496537941	0.0644875825187693	0.407017918923954	0.582327721373378	1.72011156465504	29	WNT5A;KIF7;GLI1;SMO;WNT2;PTCH1;SUFU;WNT4;WNT7A;WNT2B;BMP4;WNT3;WNT5B
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PATHWAY_ADAPTOR_PROTEINS	0.0120688868961239	0.109862367480892	0.380730400722792	0.728142606095042	1.71545167347615	10	SHC4;SOS1;SHC2;SHC3
KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM	0.0155178795167974	0.133410658623578	0.380730400722792	0.700235118960368	1.68767544052584	11	AKR1C4;AKR1C3;AKR1A1;AKR1C1;CYP1B1;AKR1C2;EPHX2
KEGG_MEDICUS_REFERENCE_SIALYL_LEWIS_X_ANTIGEN_BIOSYNTHESIS	0.0134240496118088	0.118706952995852	0.380730400722792	0.792829428814861	1.59326437859608	6	ST3GAL6;FUT3;FUT7;FUT5
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR	0.0316086278174162	0.23606800318237	0.321775918075361	0.543155582731489	1.58566463331749	27	FRZB;SFRP4;WNT5A;SFRP1;WNT2;WNT4;SFRP2;WNT7A;WNT2B;WNT3;WNT5B
KEGG_MEDICUS_REFERENCE_TETHERING_OF_LATE_ENDOSOMES_AND_LYSOSOMES	0.0268137740654946	0.210097799323305	0.352487857583619	0.695213471629573	1.58254158813599	9	VPS39;VPS11;VPS18;VPS16;PLEKHM1
KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_HH_LIGAND_SECRETION	0.0167024504722781	0.138593507524211	0.352487857583619	0.784127018293918	1.57577607633709	6	SCUBE2;HHAT;IHH;DISP1
KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR	0.0533312421244079	0.362769657967127	0.321775918075361	0.592287872092251	1.53690184209801	15	VPS39;VPS11;MAP1LC3A;VPS18;VPS16;PLEKHM1;MAP1LC3C;EPG5;TECPR2
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_TETHERING_OF_LATE_ENDOSOMES_AND_LYSOSOMES	0.0769698874857783	0.457418049630522	0.287805130535564	0.700179451245162	1.52491605362506	8	VPS39;VPS11;VPS18;VPS16;PLEKHM1
KEGG_MEDICUS_REFERENCE_CASR_PTH_SIGNALING_PATHWAY	0.0380154070035605	0.273622522502372	0.321775918075361	0.723594982002179	1.51130327871179	7	CASR;PLCB4;PLCB3;GNAQ
KEGG_MEDICUS_REFERENCE_PTH_PTH1R_PKA_SIGNALING_PATHWAY	0.0463458110516934	0.322337719561778	0.282013350011725	0.57941917823809	1.50350943239023	15	PTH1R;ADCY6;PRKACG;ADCY8
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_ACYL_COA_SYNTHESIS	0.0709219858156028	0.434660487325328	0.224966093540314	0.618843378003832	1.49150869802094	11	CPT1C;ACSBG1;CPT1B;ACSL1;CPT2
KEGG_MEDICUS_REFERENCE_CA2_PLCD_ITPR_SIGNALING_PATHWAY	0.0358651799511529	0.264292218925757	0.321775918075361	0.741870061832412	1.49085679732061	6	ITPR1;PLCD4;PLCD1;PLCD3;ITPR3
KEGG_MEDICUS_REFERENCE_LEUCINE_DEGRADATION	0.0513307984790875	0.353041825095057	0.276500599254472	0.707660777204805	1.47802303692887	7	AUH;IVD;MCCC2;HMGCLL1;MCCC1;HMGCL
KEGG_MEDICUS_ENV_FACTOR_NNK_TO_DNA_ADDUCTS	0.0541586073500967	0.364393238583803	0.271288554688953	0.762827163814153	1.44664167973011	5	HSD11B1;AKR1C2;CBR1
KEGG_MEDICUS_REFERENCE_AVP_V2R_PKA_SIGNALING_PATHWAY	0.0815217391304348	0.45750184774575	0.211400189384923	0.612911762793702	1.44397608432274	10	ADCY6;PRKACG;AQP2;AVP;ADCY3;PRKACB;AVPR2
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_ITPR1_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY	0.0665399239543726	0.420287887017925	0.241339976815091	0.689408898361224	1.43990209216689	7	ITPR1;PLCB4;PLCB3;GNAQ;PLCB2
KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_PTCH_CORECEPTOR	0.09375	0.492890456148334	0.197822021315103	0.627104678754378	1.42750288183749	9	BOC;IHH;PTCH1;LRP2
KEGG_MEDICUS_REFERENCE_UREA_CYCLE	0.0858778625954199	0.466301727601446	0.211400189384923	0.69840950110414	1.40351876373415	6	CPS1;OTC
KEGG_MEDICUS_REFERENCE_HYDROLYSIS_OF_SPHINGOMYELIN	0.107547169811321	0.520091391509434	0.186432558434075	0.638580912588396	1.39076101621215	8	SMPD3;SMPD2;SMPD4;ASAH1;SMPD1
KEGG_MEDICUS_REFERENCE_BILE_ACID_BIOSYNTHESIS	0.0896057347670251	0.482312607137292	0.199915231309662	0.545372652271304	1.38933906700015	14	SLC27A5;CYP27A1;AKR1C4;ACOX2;HSD17B4;AMACR
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_RHOA_SIGNALING_PATHWAY	0.110294117647059	0.529240766073871	0.181383128498408	0.609398477721528	1.38719756462794	9	MYL5;MYL2;MYL9;MYL7
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE	0.0947775628626693	0.493002616907498	0.20207170902116	0.718879018298915	1.36329748059161	5	C1S;C1R;C1QB;C1QA
KEGG_MEDICUS_REFERENCE_CREATINE_PATHWAY	0.11787072243346	0.552742251411453	0.178219874951973	0.648168447715072	1.35376712740438	7	GATM;CKMT1A;CKMT1B;CKB;GAMT
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION	0.111313868613139	0.530025266704099	0.179782316298324	0.497170683048259	1.351064527205	19	WNT5A;WNT2;WNT4;WNT7A;WNT2B;WNT3;WNT5B;WNT9A
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY	0.143382352941176	0.620655080213904	0.157402899305283	0.589278246899332	1.34139709709042	9	AKR1C4;AKR1C3;AKR1A1;AKR1C1;AKR1C2;KEAP1
KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY	0.124045801526718	0.573017545858494	0.173747838999571	0.66208908418964	1.3305295123486	6	PLCB4;PLCB3;GNAQ;PLCB2;GNA11
KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION	0.15036231884058	0.626510669574542	0.152144922367565	0.562213738396899	1.3245351807615	10	ACAA1;ACADS;HADH
KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN	0.147169811320755	0.626510669574542	0.157402899305283	0.607104462577371	1.32220867031342	8	COLEC11;FCN1;F2;MBL2
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GRM1_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY	0.165441176470588	0.64407602663707	0.14551614609036	0.580478412789367	1.32136569088784	9	ITPR1;PLCB4;PLCB3;GNAQ;ITPR3;PLCB2
KEGG_MEDICUS_REFERENCE_GH_JAK_STAT_SIGNALING_PATHWAY	0.150190114068441	0.626510669574542	0.156312403073186	0.630993768030162	1.31789602497246	7	GHR;STAT5B
KEGG_MEDICUS_REFERENCE_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.160377358490566	0.642984829452121	0.150169802128406	0.597251300494306	1.30074953578339	8	CHSY3;CSGALNACT2;CHST3;CHPF2;CHST7;CHPF
KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_CFHR	0.16412213740458	0.642984829452121	0.149207542435322	0.645655111747913	1.29750391826921	6	CFHR1;CFH;CFHR5;CFHR3
KEGG_MEDICUS_REFERENCE_TESTOSTERONE_BIOSYNTHESIS	0.173913043478261	0.656415694591729	0.140406238523342	0.550042790000839	1.29586130064647	10	HSD17B2;AKR1C3;HSD17B3;HSD3B2;HSD3B1
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_N_TO_LECTIN_PATHWAY_OF_COAGULATION_CASCADE	0.16412213740458	0.642984829452121	0.149207542435322	0.644392668037357	1.29496692037167	6	COLEC11;FCN1;MBL2
KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS	0.1508078994614	0.626510669574542	0.151148761385484	0.443771735795155	1.28069660170236	24	PIGG;PIGB;MPPE1;PIGO;PIGT;PGAP1;PIGC;PIGH
KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	0.142857142857143	0.620655080213904	0.154190966581424	0.399461673401813	1.2718493475251	37	AXIN2;WNT5A;WNT2;WNT4;LEF1;FZD7;WNT7A;WNT2B;WNT3;TCF7L1;WNT5B
KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY	0.172972972972973	0.656415694591729	0.140406238523342	0.477068070017229	1.26643711578685	17	CX3CR1;ADCY6;PRKACG;ADCY8
KEGG_MEDICUS_REFERENCE_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION	0.19622641509434	0.692900208361041	0.134273452883202	0.578543367594505	1.26000565625606	8	C1S;C1R;C1QB;C1QA
KEGG_MEDICUS_REFERENCE_HEPARAN_SULFATE_DEGRADATION	0.190114068441065	0.692900208361041	0.137250779610133	0.602172573073669	1.25769996568855	7	IDUA;SGSH;HGSNAT;NAGLU;GUSB
KEGG_MEDICUS_REFERENCE_LPA_GNAQ_11_RHOA_SIGNALING_PATHWAY	0.196691176470588	0.692900208361041	0.132147260608774	0.55234366406631	1.25732146311758	9	GNAQ;LPAR5;LPAR2;GNA11;LPAR4
