pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_UV_RESPONSE_DN	7.90181015660898e-08	3.95090507830449e-06	0.704975715167238	-0.431487171206935	-2.09503014079623	137	GCNT1;RASA2;KIT;ATRX;ITGB3;MMP16;NR1D2;BDNF;NOTCH2;SYNE1;CDON;NR3C1;ATP2B1;TGFBR2;MET;AKT3;GJA1;ATP2B4;EFEMP1;NRP1;SERPINE1;LTBP1;NEK7;ATRN;NFIB;DLC1;MAP1B;CAV1;INPP4B;HAS2;LDLR;PTPRM;PRKCE;NIPBL;ADORA2B;TJP1;PDLIM5;PHF3;PRKCA;TFPI;MAGI2;PRKAR2B;CDC42BPA;AGGF1;CELF2;VLDLR;LPAR1;BMPR1A;PIK3R3;SCN8A;SNAI2;DLG1;SYNJ2;TGFBR3;ATP2C1;PTGFR;SFMBT1;SLC7A1;MYC;F3;COL5A2;SDC2;CDK13;PTEN;MIOS;SPOP;ANXA4;CDKN1B;LAMC1;RND3;FBLN5;PIAS3;DUSP1;CITED2
HALLMARK_PROTEIN_SECRETION	2.90184554423749e-05	0.000725461386059373	0.575610261071129	-0.426274323533265	-1.9274262797261	94	ADAM10;ATP7A;ABCA1;EGFR;CLCN3;YIPF6;ARFGEF1;SCAMP1;DST;RPS6KA3;GOLGA4;SSPN;TMX1;LMAN1;MAPK1;ARFGEF2;SEC24D;TOM1L1;RAB2A;AP3S1;VPS4B;SCRN1;MON2;USO1;NAPG;TMED2;ARFIP1;RAB14;GALC;CLTC;ANP32E;CAV2;TMED10;SGMS1;ARCN1;TPD52;BET1;AP1G1;VAMP7;RAB5A;SEC31A;SNAP23;VAMP4;M6PR;LAMP2;COPB1;TSPAN8;SNX2;AP3B1
HALLMARK_MITOTIC_SPINDLE	5.24334244825204e-05	0.000873890408042007	0.557332238758646	-0.340336726679261	-1.7463860345486	196	RAPGEF6;PPP4R2;ANLN;RASA2;LATS1;CCDC88A;FGD4;BRCA2;KIF20B;ARHGAP29;ARHGAP5;ROCK1;NOTCH2;APC;TRIO;DYNLL2;CD2AP;RAPGEF5;ARFGEF1;AKAP13;SMC4;DST;ECT2;DOCK2;PCGF5;FLNB;RASA1;ARHGEF12;DOCK4;CLIP1;SOS1;SPTBN1;BCL2L11;SORBS2;ALMS1;RALBP1;SMC1A;SMC3;RICTOR;TOP2A;NIN;PKD2;NF1;RABGAP1;RFC1;STK38L;PDLIM5;LRPPRC;ALS2;OPHN1;PCM1;CDC42BPA;KIF23;CKAP5;PALLD;RASAL2;CDC27;RAB3GAP1;TIAM1;RHOF;DLG1;KIFAP3;DLGAP5;RACGAP1;TUBGCP5;INCENP;WASL;SASS6;CEP72;NCK1;MAPRE1;BUB1;MYH10;KIF5B;SSH2;TLK1;CDK5RAP2;NEDD9;MYO1E;CEP192;PREX1
HALLMARK_G2M_CHECKPOINT	0.000166520348169413	0.00208150435211766	0.518848077743792	-0.317692353061942	-1.60051289248775	182	CCNT1;BARD1;RBL1;ATRX;RPS6KA5;SMC2;BRCA2;DMD;STAG1;KIF20B;WRN;NOTCH2;SMC4;PBK;ARID4A;RAD21;HIF1A;PDS5B;TMPO;SMC1A;DR1;TOP2A;PURA;HSPA8;CHEK1;G3BP1;MAD2L1;RAD23B;TOP1;SAP30;KIF23;PLK4;CDKN3;PRIM2;RASAL2;CUL5;CDC27;DBF4;FOXN3;CDC6;CDC25A;CKS2;RACGAP1;SLC38A1;SMARCC1;HMMR;CDKN2C;INCENP;KPNB1;SLC7A1;BUB1;MYC;CUL3;CTCF;KIF5B;MCM6;FANCC;MKI67;NUSAP1;CDKN1B;MNAT1;PRPF4B;CCNA2;NUP50;CENPE;CENPF;TRA2B;LMNB1;PRC1;NEK2;CBX1;NUP98;XPO1;FBXO5;KIF4A;GINS2;HNRNPU;NCL;PAFAH1B1;MTF2;MCM2;KIF15;TPX2;MEIS2;KPNA2;HUS1;GSPT1;EXO1;CCND1;YTHDC1;AURKA;ODC1
HALLMARK_ANDROGEN_RESPONSE	0.00022038327691126	0.0022038327691126	0.518848077743792	-0.390422020495796	-1.77012193490044	95	FKBP5;LIFR;ZBTB10;ELK4;ABCC4;IQGAP2;GSR;AKAP12;ABHD2;SLC26A2;CDC14B;SGK1;ELL2;ITGAV;HERC3;RPS6KA3;ADAMTS1;DNAJB9;LMAN1;ARID5B;SEC24D;ELOVL5;INPP4B;SPCS3;SLC38A2;NCOA4;PDLIM5;PIAS1;MERTK
HALLMARK_KRAS_SIGNALING_DN	0.00157778124994372	0.0117228000744472	0.45505986738723	0.369103325261115	1.59081731900612	169	LGALS7;SERPINB2;FGFR3;CALML5;STAG3;SPRR3;KRT15;TG;EDAR;CCDC106;UPK3B;MAGIX;OXT;IDUA;KRT13;SPHK2;LYPD3;YBX2;EDN2;CLDN8;NPHS1;DLK2;SOX10;CAPN9;PRODH;KCNN1;PNMT;KLK8;ADRA2C;GAMT;KCNE2;KLK7;IGFBP2;MSH5;SERPINA10;EDN1;SHOX2;SNCB;THNSL2;CLPS;PKP1;ITIH3;TCL1A;CNTFR;KCND1;RGS11;GP1BA;MYO15A;CALCB;TNNI3;CELSR2;KCNQ2;CKM;PDCD1;ATP6V1B1;MX1;CPB1;HNF1A;KRT5;IL12B;MTHFR;GPRC5C;PAX4;PDE6B
HALLMARK_MYOGENESIS	0.0016411920104226	0.0117228000744472	0.45505986738723	0.359035178319047	1.55706052367108	187	TNNT2;TNNI2;MYL4;ENO3;SPEG;ATP2A1;CFD;TNNT3;PDLIM7;TCAP;SPDEF;APLNR;MB;PTP4A3;AGRN;CASQ2;CTF1;PVALB;SPHK1;DMPK;APOD;NOTCH1;FXYD1;COL6A2;CDKN1A;EPHB3;MYL6B;CAMK2B;SOD3;MYH3;TPM2;SGCA;COL1A1;SH2B1;CKB;HSPB2;PGAM2;PICK1;CASQ1;DAPK2;PC;MYOM2;SORBS3;SMTN;MAPK12;COX7A1;TGFB1;KCNH2;KIFC3;OCEL1;CKM;FABP3;GPX3;KCNH1;MYL3;GAA;ADAM12;AEBP1;FDPS;BIN1;HDAC5;CACNA1H;ACTA1;SLN;SIRT2;TAGLN;TSC2;PPP1R3C;AKT2;TNNC1;CHRNB1;TNNI1;TPD52L1;MYH2
HALLMARK_E2F_TARGETS	0.00749806200888214	0.0468628875555134	0.407017918923954	-0.276020523553973	-1.40109780798398	187	BARD1;BRCA2;MCM4;ATAD2;STAG1;PSIP1;PRKDC;NBN;DCK;WEE1;SMC4;IPO7;RAD50;RAD21;CIT;HELLS;PDS5B;RAD51AP1;TMPO;MSH2;USP1;NUP153;SMC1A;SMC3;TOP2A;NUDT21;BRMS1L;CHEK1;DEK;RFC1;BRCA1;MAD2L1;RFC3;DEPDC1;ING3;PLK4;CDKN3;PRIM2;NUP205;PRPS1;ANP32E;SMC6;CDC25A;DLGAP5;CKS2;RACGAP1;PPM1D;RAD1;EIF2S1;HMMR;DCLRE1B;CDKN2C;GINS4;MYC;CTCF;MELK;DSCC1;MCM6;TRIP13;UBR7;MKI67;CDKN1B;HMGB2;CENPE;MTHFD2;TFRC;TRA2B;RPA1;DIAPH3;LMNB1;NAP1L1;RRM2;CBX5;XPO1;CSE1L;PCNA;KIF4A
HALLMARK_ALLOGRAFT_REJECTION	0.0107937576555986	0.0599653203088809	0.380730400722792	-0.273073383985468	-1.38286780781854	186	EREG;LY75;GCNT1;INHBA;IL2RA;NOS2;CD3G;IL6;TLR3;GZMB;EGFR;CXCL9;PTPRC;TLR6;ITK;ETS1;KRT1;NLRP3;CD80;NCR1;IL7;TRAT1;IL12RB1;IL2;CD28;CD8A;CD247;HIF1A;JAK2;SOCS5;TLR1;CRTAM;TGFB2;LCP2;ABCE1;PF4;BCAT1;CD96;F2R;BRCA1;SRGN;FCGR2B;INHBB;IL2RB;EIF3A;MMP9;CCR1;HLA-DRA;FAS;RIPK2;PRKCB;NPM1;CTSS;KLRD1;IL18RAP;CD86;STAT1;IGSF6;CSF1;IL11;GPR65;NCK1;TLR2;PRF1
HALLMARK_PANCREAS_BETA_CELLS	0.0173473943279748	0.0867369716398741	0.352487857583619	0.468066519902861	1.599634163082	39	GCK;PCSK1;INS;NKX2-2;ABCC8;SST;CHGA;INSM1;PDX1;NEUROG3;PCSK2;DPP4;HNF1A;PAX4;LMO2;G6PC2;SLC2A2;FOXA2;SCGN
