pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY	0.00164014841800625	0.175276262450046	0.45505986738723	0.563958054810321	1.81683964991732	32	CLDN6;CLDN3;CLDN9;CLDN2;CLDN14;CLDN8;CLDN4;CLDN11;CLDN15;CLDN7;ARPC1B;CLDN18
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR	0.00235077824702886	0.175276262450046	0.431707695803346	0.587383498124551	1.76591699852474	24	NOTUM;WNT6;WNT7A;WNT10A;WNT9B;SFRP1;WNT3A;WNT10B;WNT4;SFRP5;SFRP2
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	0.00238080510288595	0.175276262450046	0.431707695803346	0.52090033267664	1.74979367457785	39	NDUFS7;NDUFS8;NDUFB7;NDUFA11;NDUFB11;NDUFS6;NDUFA3;NDUFV1;NDUFB2;NDUFV3;NDUFB10;NDUFS3;NDUFB8;NDUFAB1;NDUFA2;NDUFA13;NDUFC1;NDUFS5;NDUFC2;NDUFB4;NDUFA7;PINK1;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	0.00283160359370026	0.175276262450046	0.431707695803346	0.516623421070467	1.73542679399485	39	NDUFS7;NDUFS8;NDUFB7;NDUFA11;NDUFB11;NDUFS6;NDUFA3;NDUFV1;NDUFB2;NDUFV3;NDUFB10;NDUFS3;NDUFB8;NDUFAB1;NDUFA2;NDUFA13;NDUFC1;NDUFS5;NDUFC2;NDUFB4;NDUFA7;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	0.00251016502784721	0.175276262450046	0.431707695803346	0.519096174022416	1.7336230738154	38	NDUFS7;NDUFS8;NDUFB7;NDUFA11;NDUFB11;NDUFS6;NDUFA3;NDUFV1;NDUFB2;NDUFV3;NDUFB10;NDUFS3;NDUFB8;NDUFAB1;NDUFA2;NDUFA13;NDUFC1;NDUFS5;NDUFC2;NDUFB4;NDUFA7;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	0.00882618995345155	0.349586945251662	0.380730400722792	0.634062420785483	1.71018527405278	16	COX4I2;COX6B2;COX8A;COX6B1;COX7A1;COX5B;COX4I1;COX7A2;GSTO1;COX5A;COX6A1;COX7B
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION	0.0106080359187333	0.349586945251662	0.380730400722792	0.606408802535081	1.70890539062048	18	WNT6;WNT7A;WNT10A;WNT9B;WNT3A;WNT10B;WNT4
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	0.0148857670731406	0.353737759415303	0.380730400722792	0.638180450840686	1.66562209380455	14	COX4I2;COX6B2;COX8A;COX6B1;COX7A1;COX5B;COX4I1;COX7A2;COX5A;COX6A1;COX7B
KEGG_MEDICUS_REFERENCE_MEVALONATE_PATHWAY	0.0125502480098567	0.349586945251662	0.380730400722792	0.662524648337851	1.6637328191364	12	MVD;HMGCS2;MVK;ACAT2;IDI2;FDPS;PMVK
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	0.00477257011534666	0.227247761646122	0.407017918923954	0.467523813028714	1.64546016429574	47	NDUFS7;NDUFS8;NDUFB7;COX8A;COX6B1;NDUFA11;NDUFB11;NDUFS6;NDUFV1;NDUFB10;NDUFS3;NDUFAF4;COX4I1;NDUFB8;COX5A;NDUFA2;NDUFA13;SDHB;NDUFC2;CYC1;UQCRFS1;NDUFAF3;UQCRQ;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
