pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY	0.00130871597929719	0.168327965887297	0.45505986738723	0.563958054810321	1.82916014770339	32	CLDN6;CLDN3;CLDN9;CLDN2;CLDN14;CLDN8;CLDN4;CLDN11;CLDN15;CLDN7;ARPC1B;CLDN18
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR	0.00385422047498225	0.198813539501168	0.431707695803346	0.587383498124551	1.7740815223523	24	NOTUM;WNT6;WNT7A;WNT10A;WNT9B;SFRP1;WNT3A;WNT10B;WNT4;SFRP5;SFRP2
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	0.00224069648621633	0.178952537782601	0.431707695803346	0.52090033267664	1.75055772450531	39	NDUFS7;NDUFS8;NDUFB7;NDUFA11;NDUFB11;NDUFS6;NDUFA3;NDUFV1;NDUFB2;NDUFV3;NDUFB10;NDUFS3;NDUFB8;NDUFAB1;NDUFA2;NDUFA13;NDUFC1;NDUFS5;NDUFC2;NDUFB4;NDUFA7;PINK1;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	0.0025190404943007	0.178952537782601	0.431707695803346	0.516623421070467	1.73618457060322	39	NDUFS7;NDUFS8;NDUFB7;NDUFA11;NDUFB11;NDUFS6;NDUFA3;NDUFV1;NDUFB2;NDUFV3;NDUFB10;NDUFS3;NDUFB8;NDUFAB1;NDUFA2;NDUFA13;NDUFC1;NDUFS5;NDUFC2;NDUFB4;NDUFA7;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	0.00318009356318032	0.178952537782601	0.431707695803346	0.519096174022416	1.72987935161264	38	NDUFS7;NDUFS8;NDUFB7;NDUFA11;NDUFB11;NDUFS6;NDUFA3;NDUFV1;NDUFB2;NDUFV3;NDUFB10;NDUFS3;NDUFB8;NDUFAB1;NDUFA2;NDUFA13;NDUFC1;NDUFS5;NDUFC2;NDUFB4;NDUFA7;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	0.00602968182973855	0.287105619431397	0.407017918923954	0.634062420785483	1.71347477310181	16	COX4I2;COX6B2;COX8A;COX6B1;COX7A1;COX5B;COX4I1;COX7A2;GSTO1;COX5A;COX6A1;COX7B
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION	0.00953219941742629	0.347084202316875	0.380730400722792	0.606408802535081	1.70176585479376	18	WNT6;WNT7A;WNT10A;WNT9B;WNT3A;WNT10B;WNT4
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	0.0226562558086069	0.467474078184255	0.352487857583619	0.638180450840686	1.68155642191109	14	COX4I2;COX6B2;COX8A;COX6B1;COX7A1;COX5B;COX4I1;COX7A2;COX5A;COX6A1;COX7B
KEGG_MEDICUS_REFERENCE_MEVALONATE_PATHWAY	0.017029558039895	0.405434477949809	0.352487857583619	0.662524648337851	1.67603058880678	12	MVD;HMGCS2;MVK;ACAT2;IDI2;FDPS;PMVK
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	0.00872125110877958	0.347084202316875	0.380730400722792	0.467523813028714	1.62749237031914	47	NDUFS7;NDUFS8;NDUFB7;COX8A;COX6B1;NDUFA11;NDUFB11;NDUFS6;NDUFV1;NDUFB10;NDUFS3;NDUFAF4;COX4I1;NDUFB8;COX5A;NDUFA2;NDUFA13;SDHB;NDUFC2;CYC1;UQCRFS1;NDUFAF3;UQCRQ;NDUFA10;NDUFA1;NDUFS2;NDUFB9;NDUFA4;NDUFA9
